Tipo, Tamanho_Array, Threads, Tempo(ms), Tempo(ns)
Serial,1000,1,3,3519939,
Paralelo,1000,1,31,31048262,
Paralelo,5000,1,39,39295091,
Paralelo,10000,1,59,59043027,
Paralelo,20000,1,155,155997949,
Paralelo,50000,1,772,772529709,
Paralelo,1000,2,1,1641554,
Paralelo,5000,2,9,9596695,
Paralelo,10000,2,27,27323894,
Paralelo,20000,2,44,44166767,
Paralelo,50000,2,149,149451962,
Paralelo,1000,4,1,1496929,
Paralelo,5000,4,6,6720886,
Paralelo,10000,4,10,10609086,
Paralelo,20000,4,26,26779278,
Paralelo,50000,4,67,67959033,
Paralelo,1000,8,2,2656534,
Paralelo,5000,8,8,8045694,
Paralelo,10000,8,9,9011158,
Paralelo,20000,8,16,16097963,
Paralelo,50000,8,46,46487818,
Paralelo,1000,16,4,4414039,
Paralelo,5000,16,5,5713853,
Paralelo,10000,16,11,11785904,
Paralelo,20000,16,19,19888689,
Paralelo,50000,16,46,46737299,
